,code,coname,carm,yy,mm,dd,title
6762,35760,CJ ENM,0.029287127,2015.0,11.0,6.0,CJ오쇼핑-3Q15 Review-부진한 실적
6763,35760,CJ ENM,0.029287127,2015.0,11.0,6.0,CJ오쇼핑-3Q15 Review-부진한 실적
10552,60,메리츠화재,-0.041344921,2010.0,6.0,28.0,보험업-성장보다는 안정을 추구한다
10557,810,삼성화재,0.0555550795,2010.0,6.0,28.0,보험업-성장보다는 안정을 추구한다
10562,1450,현대해상,0.0112550795,2010.0,6.0,28.0,보험업-성장보다는 안정을 추구한다
10566,2550,KB손해보험,-0.026144921,2010.0,6.0,28.0,보험업-성장보다는 안정을 추구한다
10575,3690,코리안리,-0.001144921,2010.0,6.0,28.0,보험업-성장보다는 안정을 추구한다
10579,5830,DB손해보험,-0.009044921,2010.0,6.0,28.0,보험업-성장보다는 안정을 추구한다
25277,4800,효성,-0.020406343,2015.0,12.0,8.0,Weekly 화학/에너지-정유화학 배당주 찾기
25310,10950,S-Oil,0.0239936573,2015.0,12.0,8.0,Weekly 화학/에너지-정유화학 배당주 찾기
25395,78930,GS,0.0062936573,2015.0,12.0,8.0,Weekly 화학/에너지-정유화학 배당주 찾기
29977,23590,다우기술,-0.058376185,2016.0,11.0,21.0,다우기술-신사업 확대는 수익성 개선으로
29978,23590,다우기술,-0.058376185,2016.0,11.0,21.0,다우기술-신사업 확대는 수익성 개선으로
19885,128940,한미약품,-0.051304275,2013.0,2.0,8.0,한미약품-2013년 북경한미와 개량신약이 성장동력
19886,128940,한미약품,-0.051304275,2013.0,2.0,8.0,한미약품-2013년 북경한미와 개량신약이 성장동력
19530,24110,기업은행,0.0054091448,2013.0,11.0,12.0,은행-2014년 전망: ROA 개선을 통해 leverage 핸디캡을 극복하고 valuation re-rating
19552,138930,BNK금융지주,-0.015690855,2013.0,11.0,12.0,은행-2014년 전망: ROA 개선을 통해 leverage 핸디캡을 극복하고 valuation re-rating
19553,139130,DGB금융지주,0.0021091448,2013.0,11.0,12.0,은행-2014년 전망: ROA 개선을 통해 leverage 핸디캡을 극복하고 valuation re-rating
8390,49070,인탑스,0.018080562,2009.0,11.0,23.0,통신장비
8394,54800,아이디스홀딩스,-0.016919438,2009.0,11.0,23.0,통신장비
8395,60720,KH바텍,-0.050519438,2009.0,11.0,23.0,통신장비
32391,1680,대상,-0.034691737,2017.0,2.0,3.0,대상-아쉬운 마무리
32392,1680,대상,-0.034691737,2017.0,2.0,3.0,대상-아쉬운 마무리
6409,1430,세아베스틸,-0.00567604,2015.0,12.0,7.0,세아베스틸-우려가 현실로
6410,1430,세아베스틸,-0.00567604,2015.0,12.0,7.0,세아베스틸-우려가 현실로
15180,34220,LG디스플레이,-0.036777913,2011.0,3.0,29.0,LG디스플레이-더 불리한 1 분기 vs. 여전히 낙관적인 2 분기
15181,34220,LG디스플레이,-0.036777913,2011.0,3.0,29.0,LG디스플레이-더 불리한 1 분기 vs. 여전히 낙관적인 2 분기
10168,48260,오스템임플란트,0.0421754267,2010.0,7.0,5.0,오스템임플란트
23032,48260,오스템임플란트,0.0302348188,2015.0,11.0,30.0,오스템임플란트
42935,33660,아주캐피탈,0.0389882273,2018.0,11.0,20.0,"아주캐피탈-실적호조와 고배당, Yes or Yes"
42936,33660,아주캐피탈,0.0389882273,2018.0,11.0,20.0,"아주캐피탈-실적호조와 고배당, Yes or Yes"
9320,9150,삼성전기,0.0074928239,2010.0,1.0,29.0,삼성전기-변화의 안착을 확인한 4 분기 실적
9321,9150,삼성전기,0.0074928239,2010.0,1.0,29.0,삼성전기-변화의 안착을 확인한 4 분기 실적
24553,33640,네패스,-0.053762828,2015.0,5.0,18.0,Tech-2015 Samsung Global Conference Takeaways
24624,58470,리노공업,0.0933371719,2015.0,5.0,18.0,Tech-2015 Samsung Global Conference Takeaways
21027,6650,대한유화,0.013143565,2014.0,2.0,17.0,"화학/에너지-중국 NDRC 미팅 후기: 석탄, 연료에서 원료로"
21035,11170,롯데케미칼,-0.040556435,2014.0,2.0,17.0,"화학/에너지-중국 NDRC 미팅 후기: 석탄, 연료에서 원료로"
21084,51910,LG화학,-0.020556435,2014.0,2.0,17.0,"화학/에너지-중국 NDRC 미팅 후기: 석탄, 연료에서 원료로"
27863,5180,빙그레,0.0009698013,2016.0,8.0,8.0,"음식료-기회와 위험이 공존, 서두를 필요없다"
27865,5300,롯데칠성,0.0069698013,2016.0,8.0,8.0,"음식료-기회와 위험이 공존, 서두를 필요없다"
15576,5380,현대차,-0.050357863,2012.0,1.0,27.0,현대차-4Q11 Review:2012년 성장성 유지전망에 충분한 실적
15577,5380,현대차,-0.050357863,2012.0,1.0,27.0,현대차-4Q11 Review:2012년 성장성 유지전망에 충분한 실적
6757,17670,SK텔레콤,0.0009333197,2015.0,12.0,1.0,"통신서비스-2.1GHz 대역 중 20MHz만 경매 예정, 경매 부담 경감"
6760,32640,LG유플러스,0.0017333197,2015.0,12.0,1.0,"통신서비스-2.1GHz 대역 중 20MHz만 경매 예정, 경매 부담 경감"
21603,270,기아차,-0.06629,2014.0,12.0,18.0,"자동차/부품-11월 유럽, 더딘 회복세 속에 현대차그룹 선전"
21621,5380,현대차,-0.02999,2014.0,12.0,18.0,"자동차/부품-11월 유럽, 더딘 회복세 속에 현대차그룹 선전"
6239,3450,현대증권,0.0074735226,2014.0,1.0,14.0,증권-창조경제의 핵심은 자본시장 활성화 !!
6242,6800,미래에셋대우,-0.014326477,2014.0,1.0,14.0,증권-창조경제의 핵심은 자본시장 활성화 !!
34705,33780,KT&G,-0.036181056,2018.0,2.0,19.0,KT&G-핏(Fiit)의 무서운 발걸음이 시작된다
34706,33780,KT&G,-0.036181056,2018.0,2.0,19.0,KT&G-핏(Fiit)의 무서운 발걸음이 시작된다
42955,5940,NH투자증권,0.0303357338,2018.0,1.0,25.0,증권-4Q17E Preview : Money Move 기대
42957,6800,미래에셋대우,0.1356357338,2018.0,1.0,25.0,증권-4Q17E Preview : Money Move 기대
42958,8560,메리츠종금증권,0.0389357338,2018.0,1.0,25.0,증권-4Q17E Preview : Money Move 기대
42963,16360,삼성증권,0.0518357338,2018.0,1.0,25.0,증권-4Q17E Preview : Money Move 기대
42970,71050,한국금융지주,0.0589357338,2018.0,1.0,25.0,증권-4Q17E Preview : Money Move 기대
20657,210,대림산업,-0.035578802,2014.0,1.0,24.0,대림산업-넘어야 할 산을 넘었다
20658,210,대림산업,-0.035578802,2014.0,1.0,24.0,대림산업-넘어야 할 산을 넘었다
31281,1430,세아베스틸,0.1669869808,2017.0,7.0,28.0,세아베스틸-수요처 다변화 및 수출 증대 진행 중
31282,1430,세아베스틸,0.1669869808,2017.0,7.0,28.0,세아베스틸-수요처 다변화 및 수출 증대 진행 중
29266,84010,대한제강,0.0849564242,2016.0,8.0,17.0,"대한제강-P,Q 모두 개선"
29267,84010,대한제강,0.0849564242,2016.0,8.0,17.0,"대한제강-P,Q 모두 개선"
36813,8930,한미사이언스,-0.006638469,2010.0,7.0,6.0,"제약업-2분기 실적 Preview: 외형과 영업이익은 각각 7.7%, 10.1% 증가"
36826,68870,LG생명과학,-0.045238469,2010.0,7.0,6.0,"제약업-2분기 실적 Preview: 외형과 영업이익은 각각 7.7%, 10.1% 증가"
18858,3450,현대증권,-0.004965207,2013.0,3.0,6.0,현대증권
24868,3450,현대증권,0.2305150672,2015.0,4.0,13.0,현대증권
32522,1800,오리온홀딩스,0.0100585524,2017.0,2.0,17.0,"오리온-4Q16 Re: 춘절 가수요로 호실적, 올해 1분기가 문제…"
32523,1800,오리온홀딩스,0.0100585524,2017.0,2.0,17.0,"오리온-4Q16 Re: 춘절 가수요로 호실적, 올해 1분기가 문제…"
33478,5490,POSCO,-0.015770917,2018.0,1.0,26.0,POSCO-구조조정 효과의 단맛을 맛보자
33479,5490,POSCO,-0.015770917,2018.0,1.0,26.0,POSCO-구조조정 효과의 단맛을 맛보자
38591,5490,POSCO,-0.032966563,2012.0,2.0,6.0,POSCO-비철강부문 영업이익 증가추세 지속될 전망
38592,5490,POSCO,-0.032966563,2012.0,2.0,6.0,POSCO-비철강부문 영업이익 증가추세 지속될 전망
44233,79160,CJ CGV,-0.038631504,2017.0,2.0,10.0,CJ CGV-긍정적인 변화가 기대되는 2017년
44234,79160,CJ CGV,-0.038631504,2017.0,2.0,10.0,CJ CGV-긍정적인 변화가 기대되는 2017년
19738,8490,서흥,0.0417033575,2013.0,1.0,14.0,서흥캅셀-2013년 실적 개선 본격화!
19739,8490,서흥,0.0417033575,2013.0,1.0,14.0,서흥캅셀-2013년 실적 개선 본격화!
37821,210,대림산업,0.0333315984,2011.0,11.0,10.0,대림산업-건설 관계기업 멍에에서 점차 벗어나길 기대!
37822,210,대림산업,0.0333315984,2011.0,11.0,10.0,대림산업-건설 관계기업 멍에에서 점차 벗어나길 기대!
15070,1230,동국제강,-0.070052836,2011.0,9.0,30.0,동국제강-외부환경이 좋지 않다
15071,1230,동국제강,-0.070052836,2011.0,9.0,30.0,동국제강-외부환경이 좋지 않다
31533,36830,솔브레인,-0.099940229,2017.0,2.0,19.0,솔브레인-조심스러운 행보
31534,36830,솔브레인,-0.099940229,2017.0,2.0,19.0,솔브레인-조심스러운 행보
15547,42660,대우조선해양,0.0962334373,2012.0,2.0,6.0,대우조선해양-실적이 동면(冬眠)하는 사이에 체력은 회복된다
15548,42660,대우조선해양,0.0962334373,2012.0,2.0,6.0,대우조선해양-실적이 동면(冬眠)하는 사이에 체력은 회복된다
42148,17800,현대엘리베이,0.0485684957,2017.0,2.0,10.0,현대엘리베이-별도기준 분기 영업이익 600억원 기록!
42149,17800,현대엘리베이,0.0485684957,2017.0,2.0,10.0,현대엘리베이-별도기준 분기 영업이익 600억원 기록!
10907,51600,한전KPS,0.1803425073,2010.0,1.0,11.0,한전KPS
24153,51600,한전KPS,-0.036252533,2015.0,12.0,10.0,한전KPS
25873,51600,한전KPS,-0.026507438,2015.0,11.0,9.0,한전KPS
27061,51600,한전KPS,-0.027717269,2016.0,11.0,30.0,한전KPS
27986,51600,한전KPS,-0.058300226,2016.0,10.0,17.0,한전KPS
6447,6120,SK디스커버리,-0.072190061,2015.0,1.0,7.0,SK케미칼-단기 실적 부진 불구 중장기 성장성 유효
6448,6120,SK디스커버리,-0.072190061,2015.0,1.0,7.0,SK케미칼-단기 실적 부진 불구 중장기 성장성 유효
44348,20000,한섬,0.0711435643,2017.0,5.0,29.0,한섬-중장기적으로 수익성 개선 기대
44349,20000,한섬,0.0711435643,2017.0,5.0,29.0,한섬-중장기적으로 수익성 개선 기대
40277,10130,고려아연,-0.024345721,2015.0,2.0,3.0,고려아연-4Q14 리뷰: 연결 영업이익 컨센서스 7% 상회
40278,10130,고려아연,-0.024345721,2015.0,2.0,3.0,고려아연-4Q14 리뷰: 연결 영업이익 컨센서스 7% 상회
27213,60,메리츠화재,0.008578381,2016.0,3.0,17.0,보험-생보주 디스카운트 요인 축소
27229,1450,현대해상,-0.011921619,2016.0,3.0,17.0,보험-생보주 디스카운트 요인 축소
27235,2550,KB손해보험,-0.031321619,2016.0,3.0,17.0,보험-생보주 디스카운트 요인 축소
27251,5830,DB손해보험,-0.001821619,2016.0,3.0,17.0,보험-생보주 디스카운트 요인 축소
27322,88350,한화생명,-0.009021619,2016.0,3.0,17.0,보험-생보주 디스카운트 요인 축소
6219,270,기아차,0.0032870226,2014.0,3.0,5.0,자동차-연비 악화 우려 불식시키며 LF 쏘나타 출시
6225,5380,현대차,-0.027012977,2014.0,3.0,5.0,자동차-연비 악화 우려 불식시키며 LF 쏘나타 출시
28876,9540,한국조선해양,0.0065739413,2016.0,2.0,19.0,기계-1월 중국 굴삭기 시장 동향: 중국로컬 시장점유율 과반 점유
28918,42670,두산인프라코어,-0.015226059,2016.0,2.0,19.0,기계-1월 중국 굴삭기 시장 동향: 중국로컬 시장점유율 과반 점유
21038,12320,경동인베스트,-0.010743064,2014.0,5.0,31.0,"도시가스-1Q13 실적, 대체로 평이한 수준"
21041,15350,부산가스,0.0004569359,2014.0,5.0,31.0,"도시가스-1Q13 실적, 대체로 평이한 수준"
21042,15360,예스코홀딩스,-0.007843064,2014.0,5.0,31.0,"도시가스-1Q13 실적, 대체로 평이한 수준"
21045,17390,서울가스,0.0366569359,2014.0,5.0,31.0,"도시가스-1Q13 실적, 대체로 평이한 수준"
42772,34220,LG디스플레이,-0.009816345,2018.0,12.0,28.0,디스플레이 및 관련부품-기대만으로 수급 개선은 어렵다
42775,36930,주성엔지니어링,-0.083916345,2018.0,12.0,28.0,디스플레이 및 관련부품-기대만으로 수급 개선은 어렵다
42776,36930,주성엔지니어링,-0.083916345,2018.0,12.0,28.0,디스플레이 및 관련부품-기대만으로 수급 개선은 어렵다
42778,56190,에스에프에이,0.0231836551,2018.0,12.0,28.0,디스플레이 및 관련부품-기대만으로 수급 개선은 어렵다
42789,178920,SKC코오롱PI,-0.044116345,2018.0,12.0,28.0,디스플레이 및 관련부품-기대만으로 수급 개선은 어렵다
42796,213420,덕산네오룩스,0.0389836551,2018.0,12.0,28.0,디스플레이 및 관련부품-기대만으로 수급 개선은 어렵다
15135,10520,현대하이스코,0.0091138121,2011.0,11.0,21.0,현대하이스코-업종내에서 가장 편안한 주식
15136,10520,현대하이스코,0.0091138121,2011.0,11.0,21.0,현대하이스코-업종내에서 가장 편안한 주식
15067,720,현대건설,0.0610809614,2011.0,5.0,25.0,건설업종-잊혀진 歷史에서 답을 찾다
15113,6360,GS건설,0.0656809614,2011.0,5.0,25.0,건설업종-잊혀진 歷史에서 답을 찾다
8293,9150,삼성전기,0.0766076957,2009.0,4.0,27.0,삼성전기-가동률 회복 추세
8294,9150,삼성전기,0.0766076957,2009.0,4.0,27.0,삼성전기-가동률 회복 추세
4574,9150,삼성전기,-0.091177102,2010.0,8.0,6.0,전기전자/가전-LED 우려 지나치다
4575,11070,LG이노텍,-0.118777102,2010.0,8.0,6.0,전기전자/가전-LED 우려 지나치다
17828,660,SK하이닉스,0.001426812,2013.0,2.0,21.0,SK하이닉스
20380,660,SK하이닉스,0.0233788654,2014.0,11.0,24.0,SK하이닉스
23262,660,SK하이닉스,0.0168314759,2015.0,11.0,17.0,SK하이닉스
24064,660,SK하이닉스,-0.039006361,2015.0,3.0,3.0,SK하이닉스
21972,10130,고려아연,0.0184314657,2014.0,11.0,18.0,철강-2015년 철강 전망-먼저 맞은 매가 약이다: Buy & Hold 영역 진입
22016,103140,풍산,-0.027268534,2014.0,11.0,18.0,철강-2015년 철강 전망-먼저 맞은 매가 약이다: Buy & Hold 영역 진입
31209,27410,BGF,0.0962684957,2017.0,2.0,10.0,"BGF리테일-4Q 어닝 서프라이즈, 흔들림이 없다"
31210,27410,BGF,0.0962684957,2017.0,2.0,10.0,"BGF리테일-4Q 어닝 서프라이즈, 흔들림이 없다"
28358,4370,농심,-0.042455134,2016.0,2.0,14.0,농심-제2의 짜왕이 필요
28359,4370,농심,-0.042455134,2016.0,2.0,14.0,농심-제2의 짜왕이 필요
10919,660,SK하이닉스,0.0229327522,2010.0,3.0,16.0,하이닉스-예상을 대폭 상회하는 1분기 실적과 오버행 이슈 제거
10920,660,SK하이닉스,0.0229327522,2010.0,3.0,16.0,하이닉스-예상을 대폭 상회하는 1분기 실적과 오버행 이슈 제거
32669,93050,LF,-0.020342888,2017.0,1.0,23.0,LF-4분기 실적 컨센서스 부합할 전망
32670,93050,LF,-0.020342888,2017.0,1.0,23.0,LF-4분기 실적 컨센서스 부합할 전망
39331,28150,GS홈쇼핑,-0.02021282,2014.0,4.0,29.0,GS홈쇼핑-1Q14 Review: 상반기 저점으로 하반기 회복 기대
39332,28150,GS홈쇼핑,-0.02021282,2014.0,4.0,29.0,GS홈쇼핑-1Q14 Review: 상반기 저점으로 하반기 회복 기대
20263,93050,LF,-0.018704746,2014.0,12.0,2.0,"패션-좁아지는 땅, 짙어지는 어둠"
20271,111770,영원무역,0.0297952545,2014.0,12.0,2.0,"패션-좁아지는 땅, 짙어지는 어둠"
36849,4020,현대제철,0.0080771431,2010.0,3.0,9.0,철강금속-원료가격 조기 가시화 긍정적
36852,5490,POSCO,0.0030771431,2010.0,3.0,9.0,철강금속-원료가격 조기 가시화 긍정적
36855,10520,현대하이스코,0.0167771431,2010.0,3.0,9.0,철강금속-원료가격 조기 가시화 긍정적
43946,24110,기업은행,0.087081081,2015.0,2.0,10.0,은행-이익안정성 통한 과도한 할인율 해소
43948,86790,하나금융지주,-0.050618919,2015.0,2.0,10.0,은행-이익안정성 통한 과도한 할인율 해소
22041,4170,신세계,0.0463080933,2014.0,11.0,25.0,유통/종합상사-우울한 소비환경 속에서도 성장하는 종목은 있다
22114,57050,현대홈쇼핑,0.0331080933,2014.0,11.0,25.0,유통/종합상사-우울한 소비환경 속에서도 성장하는 종목은 있다
6335,150,두산,0.0937506808,2015.0,2.0,6.0,두산-4Q14 Review: 전사적인 구조조정 영향으로 다소 부진
6336,150,두산,0.0937506808,2015.0,2.0,6.0,두산-4Q14 Review: 전사적인 구조조정 영향으로 다소 부진
30674,880,한화,-0.000159711,2017.0,1.0,12.0,"한화-견조한 실적모멘텀, 줄어드는 리스크"
30675,880,한화,-0.000159711,2017.0,1.0,12.0,"한화-견조한 실적모멘텀, 줄어드는 리스크"
22977,24110,기업은행,0.0006952086,2015.0,3.0,5.0,은행-부정에서 긍정을 찾다
23096,105560,KB금융,-0.021104791,2015.0,3.0,5.0,은행-부정에서 긍정을 찾다
29566,20760,일진디스플,-0.132638493,2016.0,5.0,17.0,전기전자-중소형 부품 1Q16 업체별 실적 Review
29619,93920,서원인텍,-0.062238493,2016.0,5.0,17.0,전기전자-중소형 부품 1Q16 업체별 실적 Review
6570,210,대림산업,-0.012765181,2015.0,11.0,30.0,건설&건자재-2016년 전망) ‘빚’ 과의 전쟁
6572,720,현대건설,-0.050765181,2015.0,11.0,30.0,건설&건자재-2016년 전망) ‘빚’ 과의 전쟁
6578,6360,GS건설,-0.029065181,2015.0,11.0,30.0,건설&건자재-2016년 전망) ‘빚’ 과의 전쟁
6581,12630,HDC,-0.086765181,2015.0,11.0,30.0,건설&건자재-2016년 전망) ‘빚’ 과의 전쟁
6587,47040,대우건설,-0.026565181,2015.0,11.0,30.0,건설&건자재-2016년 전망) ‘빚’ 과의 전쟁
4922,17670,SK텔레콤,0.0471306951,2010.0,1.0,15.0,통신서비스 4분기 Preview-경쟁 상황은 우려보다 양호
4924,32640,LG유플러스,-0.035969305,2010.0,1.0,15.0,통신서비스 4분기 Preview-경쟁 상황은 우려보다 양호
19839,11790,SKC,-0.028601851,2013.0,3.0,19.0,SKC
19840,11790,SKC,-0.028601851,2013.0,3.0,19.0,SKC
21550,11790,SKC,0.0005735226,2014.0,1.0,14.0,SKC
21551,11790,SKC,0.0005735226,2014.0,1.0,14.0,SKC
27015,11790,SKC,-0.012524168,2016.0,7.0,20.0,SKC
26960,100,유한양행,-0.010917269,2016.0,11.0,30.0,"제약/바이오-국내 제약/바이오, 추락인가 터뷸런스인가"
26998,6280,녹십자,0.0189827306,2016.0,11.0,30.0,"제약/바이오-국내 제약/바이오, 추락인가 터뷸런스인가"
27076,69620,대웅제약,-0.044717269,2016.0,11.0,30.0,"제약/바이오-국내 제약/바이오, 추락인가 터뷸런스인가"
27101,128940,한미약품,-0.034117269,2016.0,11.0,30.0,"제약/바이오-국내 제약/바이오, 추락인가 터뷸런스인가"
29109,73240,금호타이어,0.0917448657,2016.0,2.0,15.0,타이어-실적 모멘텀 회복 구간 진입
29156,161390,한국타이어앤테크놀로지,0.0643448657,2016.0,2.0,15.0,타이어-실적 모멘텀 회복 구간 진입
12479,9150,삼성전기,-0.099162805,2011.0,4.0,27.0,삼성전기-1Q11 Review : 안개 속(霧霧)
12480,9150,삼성전기,-0.099162805,2011.0,4.0,27.0,삼성전기-1Q11 Review : 안개 속(霧霧)
5452,34120,SBS,-0.075835066,2011.0,11.0,29.0,SBS-우려를 실적으로 보여줄 것
5453,34120,SBS,-0.075835066,2011.0,11.0,29.0,SBS-우려를 실적으로 보여줄 것
14596,36570,엔씨소프트,-0.049156317,2011.0,3.0,24.0,엔씨소프트-‘찬란한 봄’이 온다
14597,36570,엔씨소프트,-0.049156317,2011.0,3.0,24.0,엔씨소프트-‘찬란한 봄’이 온다
30766,57050,현대홈쇼핑,0.0029067789,2017.0,12.0,15.0,현대홈쇼핑-영업상황 양호
30767,57050,현대홈쇼핑,0.0029067789,2017.0,12.0,15.0,현대홈쇼핑-영업상황 양호
24538,28150,GS홈쇼핑,0.0320126836,2015.0,12.0,4.0,"GS홈쇼핑-지금이 주가, 실적 바닥"
24539,28150,GS홈쇼핑,0.0320126836,2015.0,12.0,4.0,"GS홈쇼핑-지금이 주가, 실적 바닥"
41169,37620,미래에셋증권,-0.016749077,2016.0,7.0,6.0,미래에셋증권-미래에셋대우의 연결 편입으로 연결이익 증가
41170,37620,미래에셋증권,-0.016749077,2016.0,7.0,6.0,미래에셋증권-미래에셋대우의 연결 편입으로 연결이익 증가
31972,10130,고려아연,-0.161860961,2017.0,2.0,8.0,고려아연-4Q16 Review & FY2017 Guidance: 보이는 대로 받아들일 필요 없다
31973,10130,고려아연,-0.161860961,2017.0,2.0,8.0,고려아연-4Q16 Review & FY2017 Guidance: 보이는 대로 받아들일 필요 없다
38894,10520,현대하이스코,0.0318163276,2013.0,8.0,16.0,"현대하이스코-2Q 리뷰: 어닝서프라이즈, 하반기 이익모멘텀 유효"
38895,10520,현대하이스코,0.0318163276,2013.0,8.0,16.0,"현대하이스코-2Q 리뷰: 어닝서프라이즈, 하반기 이익모멘텀 유효"
20098,4170,신세계,-0.048587197,2014.0,1.0,13.0,신세계
21432,4170,신세계,0.0324106038,2014.0,11.0,13.0,신세계
33221,4170,신세계,0.049570613,2017.0,1.0,17.0,신세계
33277,4170,신세계,-0.023351557,2018.0,1.0,22.0,신세계
33278,4170,신세계,-0.023351557,2018.0,1.0,22.0,신세계
34860,4170,신세계,-0.002564266,2018.0,1.0,25.0,신세계
42505,9970,영원무역홀딩스,0.0320484432,2018.0,1.0,22.0,"의류-내수 브랜드 강세, OEM 단기 약세"
42524,111770,영원무역,0.0271484432,2018.0,1.0,22.0,"의류-내수 브랜드 강세, OEM 단기 약세"
25398,86960,한컴MDS,-0.05481749,2015.0,11.0,2.0,"MDS테크-3분기는 비수기로 실적 하회, 4분기 최대 실적 전망"
25399,86960,한컴MDS,-0.05481749,2015.0,11.0,2.0,"MDS테크-3분기는 비수기로 실적 하회, 4분기 최대 실적 전망"
29353,9540,한국조선해양,-0.022645988,2016.0,12.0,13.0,조선-LNG추진선과 세계 조선업의 질서 재편
29355,10620,현대미포조선,0.0307540124,2016.0,12.0,13.0,조선-LNG추진선과 세계 조선업의 질서 재편
39213,10520,현대하이스코,-0.022171769,2013.0,10.0,8.0,현대하이스코-안정적 수익구조 정착 중
39214,10520,현대하이스코,-0.022171769,2013.0,10.0,8.0,현대하이스코-안정적 수익구조 정착 중
33393,32830,삼성생명,-0.050999914,2018.0,1.0,2.0,"삼성생명-삼성전자 주식 가치, 결국은 실현될 것"
33394,32830,삼성생명,-0.050999914,2018.0,1.0,2.0,"삼성생명-삼성전자 주식 가치, 결국은 실현될 것"
28859,4170,신세계,-0.094084512,2016.0,1.0,19.0,유통-4분기 유통업체: 편의점 짱! 백화점 쏘쏘~ 대형마트 어익후
28873,7070,GS리테일,0.0543154883,2016.0,1.0,19.0,유통-4분기 유통업체: 편의점 짱! 백화점 쏘쏘~ 대형마트 어익후
28960,139480,이마트,-0.081684512,2016.0,1.0,19.0,유통-4분기 유통업체: 편의점 짱! 백화점 쏘쏘~ 대형마트 어익후
27133,5490,POSCO,0.0177310354,2016.0,1.0,29.0,POSCO-무늬만 다변화된 사업 구조의 역풍
27134,5490,POSCO,0.0177310354,2016.0,1.0,29.0,POSCO-무늬만 다변화된 사업 구조의 역풍
18043,86280,현대글로비스,-0.006591381,2013.0,3.0,11.0,"현대글로비스-1분기 연결기준 10%대 성장, 그래도 매수"
18044,86280,현대글로비스,-0.006591381,2013.0,3.0,11.0,"현대글로비스-1분기 연결기준 10%대 성장, 그래도 매수"
19184,79160,CJ CGV,0.0060412089,2013.0,10.0,1.0,CJ CGV-China Joins CGV(II)
19185,79160,CJ CGV,0.0060412089,2013.0,10.0,1.0,CJ CGV-China Joins CGV(II)
43021,80160,모두투어,-0.021151167,2018.0,12.0,10.0,모두투어-긍정적인 2019년 가이던스 발표
43022,80160,모두투어,-0.021151167,2018.0,12.0,10.0,모두투어-긍정적인 2019년 가이던스 발표
21444,6120,SK디스커버리,0.0145653375,2014.0,2.0,7.0,"SK케미칼-별도 어닝서프라이즈, 연결 어닝쇼크"
21445,6120,SK디스커버리,0.0145653375,2014.0,2.0,7.0,"SK케미칼-별도 어닝서프라이즈, 연결 어닝쇼크"
19522,5490,POSCO,0.0476489826,2013.0,11.0,4.0,POSCO
23286,5490,POSCO,-0.010668524,2015.0,11.0,17.0,POSCO
23798,5490,POSCO,-0.057410782,2015.0,11.0,10.0,POSCO
32749,5490,POSCO,0.0298499951,2017.0,11.0,21.0,POSCO
24271,11070,LG이노텍,0.0814063226,2015.0,3.0,9.0,핸드셋-MWC2015 Day 3: 중국 TDD LTE 3 배의 성장
24345,66570,LG전자,-0.006793677,2015.0,3.0,9.0,핸드셋-MWC2015 Day 3: 중국 TDD LTE 3 배의 성장
24374,108320,실리콘웍스,-0.026593677,2015.0,3.0,9.0,핸드셋-MWC2015 Day 3: 중국 TDD LTE 3 배의 성장
30796,138250,엔에스쇼핑,-0.02144741,2017.0,8.0,3.0,엔에스쇼핑-부동산 가치 감안 시 저평가
30797,138250,엔에스쇼핑,-0.02144741,2017.0,8.0,3.0,엔에스쇼핑-부동산 가치 감안 시 저평가
33026,1040,CJ,-0.012026106,2017.0,5.0,26.0,CJ-CJ올리브네트웍스의 성장성에 주목
33027,1040,CJ,-0.012026106,2017.0,5.0,26.0,CJ-CJ올리브네트웍스의 성장성에 주목
19021,1230,동국제강,-0.009974565,2013.0,1.0,22.0,동국제강-4Q12 Preview-후판 판매 급감에 전기로도 고전
19022,1230,동국제강,-0.009974565,2013.0,1.0,22.0,동국제강-4Q12 Preview-후판 판매 급감에 전기로도 고전
24173,78520,에이블씨엔씨,-0.038352533,2015.0,12.0,10.0,에이블씨엔씨-실적 우려를 해소 위한 개선 노력 예상
24174,78520,에이블씨엔씨,-0.038352533,2015.0,12.0,10.0,에이블씨엔씨-실적 우려를 해소 위한 개선 노력 예상
38046,1800,오리온홀딩스,0.0172271111,2012.0,3.0,23.0,오리온-이유 있는 프리미엄
38047,1800,오리온홀딩스,0.0172271111,2012.0,3.0,23.0,오리온-이유 있는 프리미엄
21857,100,유한양행,-0.007587978,2014.0,11.0,11.0,제약/바이오-HealthCare도 이제는 쇼핑처럼
21872,5500,삼진제약,0.0239120221,2014.0,11.0,11.0,제약/바이오-HealthCare도 이제는 쇼핑처럼
21939,128940,한미약품,-0.038487978,2014.0,11.0,11.0,제약/바이오-HealthCare도 이제는 쇼핑처럼
19524,10520,현대하이스코,0.0236572025,2013.0,3.0,4.0,현대하이스코-중장기 성장성 감안 시 놓치지 말아야 할 바겐 세일
19525,10520,현대하이스코,0.0236572025,2013.0,3.0,4.0,현대하이스코-중장기 성장성 감안 시 놓치지 말아야 할 바겐 세일
6374,5490,POSCO,0.0316574731,2015.0,4.0,8.0,POSCO-예상보다 부진한 국내외 시황
6375,5490,POSCO,0.0316574731,2015.0,4.0,8.0,POSCO-예상보다 부진한 국내외 시황
21783,33780,KT&G,-0.020881288,2014.0,11.0,6.0,KT&G-담배가격 관련 불확실성 지속
21784,33780,KT&G,-0.020881288,2014.0,11.0,6.0,KT&G-담배가격 관련 불확실성 지속
